,hexcode,decimal,Unicode name,CLDR English name,major shortname,localsrc, char
0023-20e3,35,hash key, , ,sharp,#⃣
0030-20e3,48,keycap 0, , ,0square,0⃣
0031-20e3,49,keycap 1, , ,1square,1⃣
0032-20e3,50,keycap 2, , ,2square,2⃣
0033-20e3,51,keycap 3, , ,3square,3⃣
0034-20e3,52,keycap 4, , ,4square,4⃣
0035-20e3,53,keycap 5, , ,5square,5⃣
0036-20e3,54,keycap 6, , ,6square,6⃣
0037-20e3,55,keycap 7, , ,7square,7⃣
0038-20e3,56,keycap 8, , ,8square,8⃣
0039-20e3,57,keycap 9, , ,9square,9⃣
00a9,169,copyright sign, , ,copyright,©
00ae,174,registered sign, , ,registered,®
1f004,126980,mahjong tile red dragon, , ,mahjongg,🀄
1f0cf,127183,playing card black joker, , ,joker,🃏
1f170,127344,negative squared latin capital letter a, , ,blooda,🅰
1f171,127345,negative squared latin capital letter b, , ,bloodb,🅱
1f17e,127358,negative squared latin capital letter o, , ,bloodo,🅾
1f17f,127359,negative squared latin capital letter p, , ,parking,🅿
1f18e,127374,negative squared ab, , ,bloodab,🆎
1f191,127377,squared cl, , ,clear,🆑
1f192,127378,squared cool, , ,cool,🆒
1f193,127379,squared free, , ,freesign,🆓
1f194,127380,squared id, , ,mark3,🆔
1f195,127381,squared new, , ,new,🆕
1f196,127382,squared ng, , ,,🆖
1f197,127383,squared ok, , ,okay,🆗
1f198,127384,squared sos, , ,sos,🆘
1f199,127385,squared up with exclamation mark, , ,up,🆙
1f19a,127386,squared vs, , ,vs,🆚
1f1e8-1f1f3,127464,regional indicator symbol letters cn, , ,china,🇨🇳
1f1e9-1f1ea,127465,regional indicator symbol letters de, , ,germany,🇩🇪
1f1ea-1f1f8,127466,regional indicator symbol letters es, , ,spain,🇪🇸
1f1eb-1f1f7,127467,regional indicator symbol letters fr, , ,france,🇫🇷
1f1ec-1f1e7,127468,regional indicator symbol letters gb, , ,england,🇬🇧
1f1ee-1f1f9,127470,regional indicator symbol letters it, , ,italy,🇮🇹
1f1ef-1f1f5,127471,regional indicator symbol letters jp, , ,flag,🇯🇵
1f1f0-1f1f7,127472,regional indicator symbol letters kr, , ,korea,🇰🇷
1f1f7-1f1fa,127479,regional indicator symbol letters ru, , ,russia,🇷🇺
1f1fa-1f1f8,127482,regional indicator symbol letters us, , ,usa,🇺🇸
1f201,127489,squared katakana koko, , ,,🈁
1f202,127490,squared katakana sa, , ,mark2,🈂
1f21a,127514,squared cjk unified ideograph7121, , ,,🈚
1f22f,127535,squared cjk unified ideograph6307, , ,mark6,🈯
1f232,127538,squared cjk unified ideograph7981, , ,,🈲
1f233,127539,squared cjk unified ideograph7a7a, , ,mark5,🈳
1f234,127540,squared cjk unified ideograph5408, , ,,🈴
1f235,127541,squared cjk unified ideograph6e80, , ,mark4,🈵
1f236,127542,squared cjk unified ideograph6709, , ,,🈶
1f237,127543,squared cjk unified ideograph6708, , ,,🈷
1f238,127544,squared cjk unified ideograph7533, , ,,🈸
1f239,127545,squared cjk unified ideograph5272, , ,mark1,🈹
1f23a,127546,squared cjk unified ideograph55b6, , ,mark7,🈺
1f250,127568,circled ideograph advantage, , ,profitsign,🉐
1f251,127569,circled ideograph accept, , ,accept,🉑
1f300,127744,cyclone, , ,typhoon,🌀
1f301,127745,foggy, , ,mist,🌁
1f302,127746,closed umbrella, , ,umbrella,🌂
1f303,127747,night with stars, , ,night,🌃
1f304,127748,sunrise over mountains, , ,,🌄
1f305,127749,sunrise, , ,daybreak,🌅
1f306,127750,cityscape at dusk, , ,town,🌆
1f307,127751,sunset over buildings, , ,,🌇
1f308,127752,rainbow, , ,rainbow,🌈
1f309,127753,bridge at night, , ,nightbridge,🌉
